50/10 UPHOLSTERY,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0667-837,ARCH WHITE 6 DRAWER DRESSER P1,89,$0,0
0667-845,ARCH WHITE 6 DRAWER DRESSER P2,90,$0,0
0538-328,EAC TATE CHAR KING BED P2     ,91,$-184,-1
0538-316,EAC TATE CHAR KING BED P1     ,92,"$-1,261",-1
50/55 STORAGE,,,,
SKU,SKU Description,Rank,Sales TY,Units TY
0554-189,MAXINE BAR CABINET            ,1,"$2,958",2
0669-276,CAMEO GREY OPEN BOOKCASE      ,2,"$1,438",2
0233-296,STEAMER BAR CABINET C2        ,3,"$1,399",1
0449-496,MARIN BAR CABINET SHIITAKE    ,4,"$1,299",1
0669-932,CAMEO GREY MEDIA CONSOLE      ,5,"$1,259",1
0339-530,EAC AUSTIN 62  MEDIA CONSOLE  ,6,$999,1
0669-995,EAC RIGBY 55  MEDIA CONSOLE   ,7,$899,1
0439-535,EAC WYATT 60  MEDIA CONSLE GRY,8,$764,1
0327-828,ASPECT WALNUT 47.5  SLDG DR UT,9,$678,2
0444-563,EAC ASPECT BKCSE WALNUT       ,10,$424,1
0327-692,EAC ASPECT CFFE 47.5 SG DR UNT,11,$399,1
